arm_role,arm_id,n_pairs,n_means,pair_index,LTE.ID,Code,Site.Key,Site.ID,Country,Latitude,Longitude,M.Year,m_year_first,m_year_last,m_year_is_aggregate,Product.Simple,EU,Out.SubInd,Outcode,Units,yield_basis,Mean.Error.Type,Upper,Lower,DataLoc,Analysis.Function,Duration,Variety,Rep,Plot.Size,Plant.Start,Plant.End,Harvest.Start,Harvest.End,planting_date_source,harvest_date_source,climate_date_source,climate_window_start,climate_window_end,is_livestock,gdd_gdd_subopt,gdd_gdd_opt,gdd_gdd_aboveopt,gdd_gdd_abovemax,gdd_Harvest.Start,gdd_Harvest.End,temp_tmax_tg_35.days,temp_tmax_tg_35.days_pr,temp_tmax_tg_35.max_rseq,temp_tmax_tg_35.n_seq_d5,temp_tmax_tg_35.n_seq_d10,temp_tmax_tg_35.n_seq_d15,temp_tmax_tg_37.5.days,temp_tmax_tg_37.5.days_pr,temp_tmax_tg_37.5.max_rseq,temp_tmax_tg_37.5.n_seq_d5,temp_tmax_tg_37.5.n_seq_d10,temp_tmax_tg_37.5.n_seq_d15,temp_tmax_tg_40.days,temp_tmax_tg_40.days_pr,temp_tmax_tg_40.max_rseq,temp_tmax_tg_40.n_seq_d5,temp_tmax_tg_40.n_seq_d10,temp_tmax_tg_40.n_seq_d15,temp_tmin_min,temp_tmin_mean,temp_tmin_var,temp_tmin_sd,temp_tmin_range,temp_tmax_max,temp_tmax_mean,temp_tmax_var,temp_tmax_sd,temp_tmax_range,temp_tmean_max,temp_tmean_min,temp_tmean_mean,temp_tmean_var,temp_tmean_sd,temp_tmean_range,temp_Harvest.Start,temp_Harvest.End,rain_rain_sum,rain_eto_sum,rain_eto_na,rain_w_balance,rain_w_balance_negdays,rain_rain_l_0.1.days,rain_rain_l_0.1.days_pr,rain_rain_l_0.1.max_seq,rain_rain_l_0.1.n_seq_d5,rain_rain_l_0.1.n_seq_d10,rain_rain_l_0.1.n_seq_d15,rain_rain_l_1.days,rain_rain_l_1.days_pr,rain_rain_l_1.max_seq,rain_rain_l_1.n_seq_d5,rain_rain_l_1.n_seq_d10,rain_rain_l_1.n_seq_d15,rain_rain_l_5.days,rain_rain_l_5.days_pr,rain_rain_l_5.max_seq,rain_rain_l_5.n_seq_d5,rain_rain_l_5.n_seq_d10,rain_rain_l_5.n_seq_d15,rain_Harvest.Start,rain_Harvest.End,eratio_eratio_mean,eratio_eratio_median,eratio_eratio_min,eratio_eratio_l_0.5.days,eratio_eratio_l_0.5.days_pr,eratio_eratio_l_0.5.max_seq,eratio_eratio_l_0.5.n_seq_d5,eratio_eratio_l_0.5.n_seq_d10,eratio_eratio_l_0.5.n_seq_d15,eratio_eratio_l_0.25.days,eratio_eratio_l_0.25.days_pr,eratio_eratio_l_0.25.max_seq,eratio_eratio_l_0.25.n_seq_d5,eratio_eratio_l_0.25.n_seq_d10,eratio_eratio_l_0.25.n_seq_d15,eratio_eratio_l_0.1.days,eratio_eratio_l_0.1.days_pr,eratio_eratio_l_0.1.max_seq,eratio_eratio_l_0.1.n_seq_d5,eratio_eratio_l_0.1.n_seq_d10,eratio_eratio_l_0.1.n_seq_d15,eratio_Harvest.Start,eratio_Harvest.End,logging_logging_sum,logging_logging_mean,logging_logging_median,logging_logging_present_mean,logging_logging_g_0.days,logging_logging_g_0.days_pr,logging_logging_g_0.max_seq,logging_logging_g_0.n_seq_d5,logging_logging_g_0.n_seq_d10,logging_logging_g_0.n_seq_d15,logging_logging_g_ssat_0.5.days,logging_logging_g_ssat_0.5.days_pr,logging_logging_g_ssat_0.5.max_seq,logging_logging_g_ssat_0.5.n_seq_d5,logging_logging_g_ssat_0.5.n_seq_d10,logging_logging_g_ssat_0.5.n_seq_d15,logging_logging_g_ssat_0.9.days,logging_logging_g_ssat_0.9.days_pr,logging_logging_g_ssat_0.9.max_seq,logging_logging_g_ssat_0.9.n_seq_d5,logging_logging_g_ssat_0.9.n_seq_d10,logging_logging_g_ssat_0.9.n_seq_d15,logging_Harvest.Start,logging_Harvest.End,arm_code,arm_label,mean,mean_error,yield_t_ha
C,-0.1205 34.7454 B3000|2006 LR|Maize-Tephrosia candida|c7.o50|T9|NA|NA,1,4,223885,,NN0261,-0.1205 34.7454 B3000,Impala,Kenya,-0.12054,34.7454,2006 LR,2006,2006,FALSE,Maize-Tephrosia candida,c7.o50,Biodiversity,203,taxonomic richness (S),,,,,Tab 2,Sys.Int.vs.Mono,107.5,,1,,2006-03-01,2006-03-31,,,reported,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9,Impala (low)_maize,0.67,,
C,-0.1205 34.7454 B3000|2006 LR|Maize-Tephrosia candida|c7.o50|T9|NA|NA,1,4,223887,,NN0261,-0.1205 34.7454 B3000,Impala,Kenya,-0.12054,34.7454,2006 LR,2006,2006,FALSE,Maize-Tephrosia candida,c7.o50,Biodiversity,203,taxonomic richness (S),,,,,Tab 2,Sys.Int.vs.Mono,107.5,,1,,2006-03-01,2006-03-31,,,reported,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9,Impala (low)_maize,1.33,,
C,-0.1205 34.7454 B3000|2006 LR|Maize-Tephrosia candida|c7.o50|T9|NA|NA,1,4,223886,,NN0261,-0.1205 34.7454 B3000,Impala,Kenya,-0.12054,34.7454,2006 LR,2006,2006,FALSE,Maize-Tephrosia candida,c7.o50,Biodiversity,203,n/m2,,,,,Tab 2,Sys.Int.vs.Mono,107.5,,1,,2006-03-01,2006-03-31,,,reported,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9,Impala (low)_maize,16,,
C,-0.1205 34.7454 B3000|2006 LR|Maize-Tephrosia candida|c7.o50|T9|NA|NA,1,4,223888,,NN0261,-0.1205 34.7454 B3000,Impala,Kenya,-0.12054,34.7454,2006 LR,2006,2006,FALSE,Maize-Tephrosia candida,c7.o50,Biodiversity,203,n/m2,,,,,Tab 2,Sys.Int.vs.Mono,107.5,,1,,2006-03-01,2006-03-31,,,reported,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T9,Impala (low)_maize,1104,,
T,-0.1631 35.7057 B15000|1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1|Potato|i7|T1|NA|NA,1,1,181797,LTE0010,LM0265,-0.1631 35.7057 B15000,Mau Summit,Kenya,-0.16309,35.70572,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,1987,1994,TRUE,Potato,i7,Crop Yield,101,Mg/ha,as reported,,,,Tab 3,Simple,7.5,,1,36,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,0FYM CONTROL<<0FYM CONTROL,6.8,,6.8
T,-0.1631 35.7057 B15000|1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1|Potato|i7|T4|NA|NA,1,1,181798,LTE0010,LM0265,-0.1631 35.7057 B15000,Mau Summit,Kenya,-0.16309,35.70572,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,1987,1994,TRUE,Potato,i7,Crop Yield,101,Mg/ha,as reported,,,,Tab 3,Simple,7.5,,1,36,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,FYM+50P<<FYM+50P,8.7,,8.7
C,-0.1631 35.7057 B15000|1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1|Potato|i7|T6|NA|NA,2,1,181797,LTE0010,LM0265,-0.1631 35.7057 B15000,Mau Summit,Kenya,-0.16309,35.70572,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,1987,1994,TRUE,Potato,i7,Crop Yield,101,Mg/ha,as reported,,,,Tab 3,Simple,7.5,,1,36,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,FYM<<FYM,7.3,,7.3
T,-0.3671 35.1759 B10000|1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1|Potato|i7|T1|NA|NA,1,1,181771,LTE0010,LM0265,-0.3671 35.1759 B10000,Sosiot,Kenya,-0.36712,35.17586,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,1987,1994,TRUE,Potato,i7,Crop Yield,101,Mg/ha,as reported,,,,Tab 3,Simple,7.5,,1,36,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,0FYM CONTROL<<0FYM CONTROL,10.2,,10.2
T,-0.3671 35.1759 B10000|1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1|Potato|i7|T4|NA|NA,1,1,181772,LTE0010,LM0265,-0.3671 35.1759 B10000,Sosiot,Kenya,-0.36712,35.17586,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,1987,1994,TRUE,Potato,i7,Crop Yield,101,Mg/ha,as reported,,,,Tab 3,Simple,7.5,,1,36,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,FYM+50P<<FYM+50P,13.5,,13.5
C,-0.3671 35.1759 B10000|1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1|Potato|i7|T6|NA|NA,2,1,181771,LTE0010,LM0265,-0.3671 35.1759 B10000,Sosiot,Kenya,-0.36712,35.17586,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,1987,1994,TRUE,Potato,i7,Crop Yield,101,Mg/ha,as reported,,,,Tab 3,Simple,7.5,,1,36,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,FYM<<FYM,13,,13
T,-0.4292 37.4744 B7500|1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1|Potato|i7|T1|NA|NA,2,1,181816,LTE0010,LM0265,-0.4292 37.4744 B7500,Kavutiri,Kenya,-0.42916,37.47443,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,1987,1994,TRUE,Potato,i7,Crop Yield,101,Mg/ha,as reported,,,,Tab 4,Simple,7.5,,1,36,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,0FYM CONTROL<<0FYM CONTROL,3,,3
C,-0.4292 37.4744 B7500|1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1|Potato|i7|T5|NA|NA,2,1,181817,LTE0010,LM0265,-0.4292 37.4744 B7500,Kavutiri,Kenya,-0.42916,37.47443,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,1987,1994,TRUE,Potato,i7,Crop Yield,101,Mg/ha,as reported,,,,Tab 4,Simple,7.5,,1,36,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T5,FYM+NP<<FYM+NP,4.1,,4.1
C/T,-0.4292 37.4744 B7500|1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1|Potato|i7|T6|NA|NA,2,1,181818,LTE0010,LM0265,-0.4292 37.4744 B7500,Kavutiri,Kenya,-0.42916,37.47443,1987.1..1988.1..1989.1..1990.1..1991.1..1992.1..1993.1..1994.1,1987,1994,TRUE,Potato,i7,Crop Yield,101,Mg/ha,as reported,,,,Tab 4,Simple,7.5,,1,36,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,FYM<<FYM,3.3,,3.3
T,-0.4310 34.2080 B200|2004.2|Maize|c7|T1|NA|NA,1,1,189779,LTE0113,NN0347,-0.4310 34.2080 B200,"ICIPE Campus, Mbita Point",Kenya,-0.431,34.208,2004.2,2004,2004,FALSE,Maize,c7,Crop Yield,101,Mg/ha,as reported,,,,Tab 3,Simple,0.5,,1,36,2004-10-01,2004-10-30,,,reported,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,INT-MZ-N>>INT-DES***M-MZ-N,5.6,,5.6
T,-0.4310 34.2080 B200|2004.2|Maize|c7|T2|NA|NA,2,1,189781,LTE0113,NN0347,-0.4310 34.2080 B200,"ICIPE Campus, Mbita Point",Kenya,-0.431,34.208,2004.2,2004,2004,FALSE,Maize,c7,Crop Yield,101,Mg/ha,as reported,,,,Tab 3,Simple,0.5,,1,36,2004-10-01,2004-10-30,,,reported,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,INT-MZ+N>>INT-DES***INT-MZ+N,6.6,,6.6
C,-0.4310 34.2080 B200|2004.2|Maize|c7|T3|NA|NA,4,1,189778,LTE0113,NN0347,-0.4310 34.2080 B200,"ICIPE Campus, Mbita Point",Kenya,-0.431,34.208,2004.2,2004,2004,FALSE,Maize,c7,Crop Yield,101,Mg/ha,as reported,,,,Tab 3,Simple,0.5,,1,36,2004-10-01,2004-10-30,,,reported,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,M-MZ-N,1.3,,1.3
