issue,LTE.ID,Site.ID,Code,Year.start,Year.end,Number of sites,Notes,Treatments,Version,DOI,Available in Saito,Latitude,Longitude
code not in ERA compiled,LTE0142,Hereford Farm,AC0047,NA,NA,NA,multiple sites,"(a) conventional management with soil tillage and crop residue removal (CT); and (b) no-tillage and crop residue retention (NT). Sub-treatments for these trials, but not used in this study,",NA,10.1017/S1742170521000442,NA,-17.423,31.445
code not in ERA compiled,LTE0142,Chavakadzi,AC0047,NA,NA,NA,multiple sites,"(a) conventional management with soil tillage and crop residue removal (CT); and (b) no-tillage and crop residue retention (NT). Sub-treatments for these trials, but not used in this study,",NA,10.1017/S1742170521000442,NA,-17.189,31.493
code not in ERA compiled,LTE0142,Madziwa,AC0047,NA,NA,NA,multiple sites,"(a) conventional management with soil tillage and crop residue removal (CT); and (b) no-tillage and crop residue retention (NT). Sub-treatments for these trials, but not used in this study,",NA,10.1017/S1742170521000442,NA,-16.991,31.415
code not in ERA compiled,LTE0197,NWRP Bhairahawa,SA0003,1978,1998,NA,NA,"(i) Treatment 1, control (no added nutrients); (ii) Treatment 2, N only; (iii) Treatment 3, N and P (NP); (iv) Treatment 4, N and K (NK); (v) Treatment 5, N,  P, and K (NPK); and (vi) Treatment 6, farmyard manure (FYM) only",NA,https://www.researchgate.net/publication/316049179_Effect_of_Long_Term_Application_of_Inorganic_and_Organic_Fertilizers_under_Rice-Rice-Wheat_System_in_Bhairahawa_Nepal,NA,27.531,83.4577
code not in ERA compiled,LTE0215,"Indian Council of Agricultural Research (ICAR) Research Complex for Eastern Region, Patna, bihar",SA0044,2009,2016,NA,NA,Scenario 1 (TPR-CTW) Scenario 2 (TPR/MTNPR+R-ZTW +R-CTMB+R) Scenario 3 (ZTDSR+R-ZTW+RZTC/ZTMB+R) Scenario 4c [NPTPR/ZTDSR+R-CT(P+M)/ ZTM+R-ZTC/ZTM+R],NA,10.1016/j.eja.2017.08.006,NA,NA,working
code not in ERA compiled,LTE0229,Sabour-MGP,SA0054,1983,2008,NA,mulitple sites,"12 treatments which were laid out in a randomized design and replicated thrice. Of the 12 treatments, five selected for the present study were: (i) no NÐPÐK fertilizers or organics (control), (ii) 100% NÐPÐK in rice and wheat (NPK), (iii) 50% NÐPÐK + 50% N through FYM in rice, 100% NÐPÐK in wheat (NPK + FYM), (iv)) 50% NÐPÐK + 50% N through crop residue (paddy straw in Kalyani and wheat straw in rest three places) in rice, 100% NÐPÐK in wheat (NPK +CR), (v)) 50% NÐPÐK + 50% N through green manuring in rice, 100% NÐPÐK in wheat (NPK + GM).",NA,10.1016/j.fcr.2011.11.011,NA,25.23333,87.06667
code not in ERA compiled,LTE0229,Kalyani-LGP,SA0054,1983,2008,NA,mulitple sites,"12 treatments which were laid out in a randomized design and replicated thrice. Of the 12 treatments, five selected for the present study were: (i) no NÐPÐK fertilizers or organics (control), (ii) 100% NÐPÐK in rice and wheat (NPK), (iii) 50% NÐPÐK + 50% N through FYM in rice, 100% NÐPÐK in wheat (NPK + FYM), (iv)) 50% NÐPÐK + 50% N through crop residue (paddy straw in Kalyani and wheat straw in rest three places) in rice, 100% NÐPÐK in wheat (NPK +CR), (v)) 50% NÐPÐK + 50% N through green manuring in rice, 100% NÐPÐK in wheat (NPK + GM).",NA,10.1016/j.fcr.2011.11.011,NA,23.004,88.9997
code not in ERA compiled,LTE0240,"Punjab Agricultural University (PAU), Ludhiana.",SA0059.2,NA,NA,NA,"more than one LTE and more sites, one is probably linked to SA0051, LTE0198. the last one is only four years",NA,NA,https://www.researchgate.net/publication/299388974,NA,30.9042,75.8064
code not in ERA compiled,LTE0229,"Ludhiana, India",SA0063,1983,2003,NA,paper about two lTES one already with multiples,NA,NA,10.2136/sssaj2006.0141,NA,NA,working
code not in ERA compiled,LTE0241,"Bhairahawa, Nepal",SA0063,1988,2008,NA,NA,NA,NA,10.2136/sssaj2006.0141,NA,NA,working
code not in ERA compiled,LTE0127,"IITA, Ibadan",AF0007,1978,1983,NA,NA,2 tillage systems and 4 nitrogen levels,NA,10.1016/0167-1987(85)90014-5,NA,7.498,3.903
