"LTE.ID","Site.ID","Code","Year.start","Year.end","Number of sites","Notes","Treatments","Version","DOI","Available in Saito","Latitude","Longitude"
"LTE0105","ARC, Nietvoorbij","NN0159.2",1992,"2004","1",,"A treatment with full surface straw mulch combined with full surface  post-emergence chemical control applied from just before grapevine bud break to harvest (BB) and  another  with no cover crop combined with BB was also applied",2018,"0",,-33.9147,18.8613
"LTE0105","ARC, Nietvoorbij","NN0159.3",1992,"2004","1",,"A treatment with full surface straw mulch combined with full surface  post-emergence chemical control applied from just before grapevine bud break to harvest (BB) and  another  with no cover crop combined with BB was also applied",2018,"0",,-33.9147,18.8613
"LTE0106","ARC, Nietvoorbij","NN0184.1",1993,"2003","1",,"Eighteen treatments are reported on with respect to grapevine  performance (Table 1). An additional five treatments were applied  but considered as not pertinent to the present trial. Two cover crop  management practices were applied to eight cover crop species.",2018,"0",,-33.9147,18.8613
"LTE0106","ARC, Nietvoorbij","NN0184.2",1993,"2003","1",,"Eighteen treatments are reported on with respect to grapevine  performance (Table 1). An additional five treatments were applied  but considered as not pertinent to the present trial. Two cover crop  management practices were applied to eight cover crop species.",2018,"0",,-33.9147,18.8613
"LTE0106","ARC, Nietvoorbij","NN0184.3",1993,"2003","1",,"Eighteen treatments are reported on with respect to grapevine  performance (Table 1). An additional five treatments were applied  but considered as not pertinent to the present trial. Two cover crop  management practices were applied to eight cover crop species.",2018,"0",,-33.9147,18.8613
"LTE0106","ARC, Nietvoorbij","LM0148",1993,"2003","1",,"Eighteen treatments are reported on with respect to grapevine  performance (Table 1). An additional five treatments were applied  but considered as not pertinent to the present trial. Two cover crop  management practices were applied to eight cover crop species.",2018,"0",,-33.9147,18.8613
"LTE0001","ARDU, Asella","NN0190",1968,"1980","1",,,2018,"10.1017/S1357729800050657",,7.9311,39.1234
"LTE0008","Ashoka","JS0401",,,"3","no dates but 50 years",,2018,"10.1007/s10705-013-9570-0",,7.2917,38.8
"LTE0009","Awassa","NN0232",1996,"2000","1",,,2018,"10.2134/agronj2010.0493",,7.1,38.5
"LTE0010","Baraton","LM0265",1987,"1994","26",,,2018,"10.1017/s0014479797000203",,0.2439,35.0862
"LTE0011","Bengou","NN0026",1988,"1992","3",,,2018,"10.1017/s0021859699007650",,11.9746,3.4911
"LTE0011","Bengou","NN0026",1988,"1992","3",,,2018,"10.1017/s0021859699007650",,11.9792,3.5581
"LTE0008","Beseko","JS0401",,,"3","no dates but 50 years",,2018,"10.1007/s10705-013-9570-0",,7.325,38.8167
"LTE0012","Beseku-IB","DK0055",2007,"2012","3",,,2020,"10.1016/j.agee.2014.06.017",,7.3333,38.8333
"LTE0012","Beseku-KW","DK0055",2007,"2012","3",,,2020,"10.1016/j.agee.2014.06.017",,7.3333,38.8333
"LTE0012","Beseku-TM","DK0055",2007,"2012","3",,,2020,"10.1016/j.agee.2014.06.017",,7.3333,38.8333
"LTE0013","Breman","JS0072",1988,"1995","3",,,2018,"10.1017/s0014479797000215",,5.645,-0.9819
"LTE0107","Buffelsvlei","EO0064",2008,"2014","1",,"a  maize monoculture under conventional mouldboard plough  tillage treatment (MM–CT), which served as the control,  a maize monoculture under no-till treatment (MM-CA), a  cowpea–maize two-year rotation under no-till treatment  (2yr-CP-CA), a sunflower–maize two-year rotation under  no-till treatment (2yr-SF-CA), a pearl millet (Pennisetum  glaucum (L.) R.Br)–cowpea–maize three-year rotation under  no-till treatment  (3yr-CP-CA), and a millet–sunflower–maize  three-year rotation under no-till treatment (3yr-SF-CA).",2020,"10.1080/02571862.2016.1213322",,-26.4949,26.602
"LTE0158","Buffelsvlei","AN0060.1",,,"1","minimum 6 years","a  maize monoculture under conventional mouldboard plough  tillage treatment (MM–CT), which served as the control,  a maize monoculture under no-till treatment (MM-CA), a  cowpea–maize two-year rotation under no-till treatment  (2yr-CP-CA), a sunflower–maize two-year rotation under  no-till treatment (2yr-SF-CA), a pearl millet (Pennisetum  glaucum (L.) R.Br)–cowpea–maize three-year rotation under  no-till treatment  (3yr-CP-CA), and a millet–sunflower–maize  three-year rotation under no-till treatment (3yr-SF-CA).",2020,"10.1016/j.still.2018.05.016",,-26.4949,26.602
"LTE0010","Bugar, Elgeyo Marakwet","LM0265",1987,"1994","26",,,2018,"10.1017/s0014479797000203",,0.7539,35.5041
"LTE0014","Bulegeni Agricultural Research and Development Center","DK0131",2008,"2014","2",,,2020,"10.2134/agronj2015.0608",,1.3,34.3333
"LTE0108","Caffee Doonsaa","JS0274.1",1998,"2003","1",,"Four methods of land preparation : ridges and furrows, broad bed and furrow, green manure, reduced tillage",2018,"10.1079/sum2005319",,8.95,39.1
"LTE0108","Caffee Doonsaa","JS0274.2",1998,"2003","1",,"Four methods of land preparation : ridges and furrows, broad bed and furrow, green manure, reduced tillage",2018,"10.1016/j.still.2005.01.009",,8.95,39.1
"LTE0016","Central Plateau","JS0052",1986,"1991","1",,,2018,"10.1007/bf00705220",,12.2333,-2.2667
"LTE0017","Chavakadzi","DK0006",2004,"2015","2",,,2020,"10.1017/S0021859616000095",,-17.189,31.493
"LTE0017","Chavakadzi","DK0006",2004,"2015","2",,,2020,"10.1017/S0021859616000095",,-17.189,31.493
"LTE0010","Chebunyo, Kericho","LM0265",1987,"1994","26",,,2018,"10.1017/s0014479797000203",,-0.959,35.196
"LTE0010","Chepkumia, Nandi","LM0265",1987,"1994","26",,,2018,"10.1017/s0014479797000203",,0.135,34.955
"LTE0109","Chikato","HK0313",2004,"2010","2","2 sites for HK0313, 1 site for AG0103","comparing two CA options (animal traction ripping and direct seeding) with a conventionally tilled control plot using a mouldboard plough were established in Zimbabwe, one in the area around Chikato village in the Zimuto Communal Area (Chikato), Masvingo Province (19.85S",,,,-19.85,30.88
"LTE0109","Chikato","AG0103",2004,"2013","2","2 sites for HK0313, 1 site for AG0103","comparing two CA options (animal traction ripping and direct seeding) with a conventionally tilled control plot using a mouldboard plough were established in Zimbabwe, one in the area around Chikato village in the Zimuto Communal Area (Chikato), Masvingo Province (19.85S",,,,-19.85,30.88
"LTE0168","Chikwaka","HK0294",,,,"same article but different LTEs HK0294","Improved-fallow legumes,  Acacia anguistissima, S. sesban, velvet beans (Mucuna pruriens), soyabean and Tephrosia vogeli, were planted in the plots  in December 2000. As controls, natural fallow and maize under  CT were also included.",2018,"10.4314/wsa.v38i2.8",,-17.5833,31.2333
"LTE0022","Chinguluwe, Salima","HK0213.4",2005,"2011","11","site is part of an LTE but duration < 5","Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,"10.1017/s0014479713000306",,-13.69,34.24
"LTE0022","Chinguluwe, Salima","HK0224",2005,"2012","8","site is part of an LTE but duration < 5","Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,"10.1016/j.fcr.2012.11.010",,-13.69,34.24
"LTE0029","Chinyika..Chiduku","HK0306.1",1992,"2005","1","this site + 4 farm fields","Conitnuous maize + fertilizers, continuous maize no fertilizer, T3    Groundnut + Maize + Maize + Groundnut + Maize + Maize +  Groundnut rotation (one crop per year) - Fertilizer on maize as in  T1, no fertilizer on groundnut.  T4   Groundnut + Maize + Maize + Groundnut + Maize + Maize +  Groundnut rotation (one crop per year) - No fertilizer applied.",2018,"10.1017/s001447970100103x",,-18.3333,31.6667
"LTE0029","Chinyika..Chiduku","HK0306.2",1992,"2005","2","this site + 4 farm fields","Conitnuous maize + fertilizers, continuous maize no fertilizer, T3    Groundnut + Maize + Maize + Groundnut + Maize + Maize +  Groundnut rotation (one crop per year) - Fertilizer on maize as in  T1, no fertilizer on groundnut.  T4   Groundnut + Maize + Maize + Groundnut + Maize + Maize +  Groundnut rotation (one crop per year) - No fertilizer applied.",2018,"0",,-18.3333,31.6667
"LTE0018","Chipala..Kazomba..Mbawa..Mhuju","HK0225",2004,"2009","1","Mbawa and Mhuju plots of 5 years other plots are less years.",,2018,"10.1007/s10705-012-9492-2",,-11.9,33.6
"LTE0022","Chipeni, Dowa","HK0213.4",2005,"2011","11",,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,"10.1017/s0014479713000306",,-13.76,34.05
"LTE0022","Chipeni, Dowa","HK0224",2005,"2012","8",,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,"10.1016/j.fcr.2012.11.010",,-13.76,34.05
"LTE0137","Chiro","NN0334",1998,"2006","3",,,2018,"10.1016/j.livsci.2015.03.021",,11.14,39.63
"LTE0022","Chisepo","HK0213.4",2005,"2011","11","HK0213.4 and HK0224 have the same treatments but HK0213.4 has more locations.","Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,"10.1017/s0014479713000306",,-13.5333,33.5167
"LTE0023","Chitedze ARS (LT CA Trial)","HK0255.2",2005,"2011","4","Domboshawa is also part of the experiment but there started in 2009","Conventional control (CPM), Conservation Agriculture (CAM),Conservation agriculture (CAM + 2YR), Conservation agriculture (CAM+3YR)",2018,"10.1080/14735903.2012.703894",,-13.9738,33.6528
"LTE0024","Chitedze ARS LT CA Trial","AG0148",2008,"2013","1",,,2020,"10.1016/j.still.2014.05.003",,-13.9738,33.6528
"LTE0025","Chongwe","JS0353",,,"1","at least six years",,2018,"10.1007/s10457-013-9632-y",,-15.42,28.88
"LTE0015","CIAT Trial Farm, Madeya","AN0129",1997,"2013","1",,,2020,"10.1007/s10705-015-9693-6",,0.144,34.4038
"LTE0026","Cinzana ARS","JS0003",1990,"1998","2","same as above + tillage","continuous cereal without residue return, continuous cereal with residue returned to the field every second year, cereal in rotation with cowpea (Vigna unguiculata), cereal in rotation with sesbania (Sesbania rostrata), and cereal in rotation with dolichos (Dolichos lablab). + open ridging and tied ridging",2018,"10.1023/a:",,13.279,-5.934
"LTE0169","Cinzana ARS","NN0003",1990,"1998","1",,"continuous cereal without residue return, continuous cereal with residue returned to the field every second year, cereal in rotation with cowpea (Vigna unguiculata), cereal in rotation with sesbania (Sesbania rostrata), and cereal in rotation with dolichos (Dolichos lablab).",2018,"10.1007/s00374-003-0718-y",,13.279,-5.934
"LTE0026","Cinzanan ARS","JS0003",1990,"1998","2",,,2018,"10.1023/a:",,13.279,-5.934
"LTE0013","CRIG, New Tafo, Akyem","JS0072",1988,"1995","3",,"four levels of shade",2018,"10.1017/s0014479797000215",,6.2284,-0.3596
"LTE0021","CRIG, New Tafo, Akyem","JS0070",1963,"1982","1",,"four levels of shade",2018,"10.1017/s0014479700001101",,6.2284,-0.3596
"LTE0027","Daqahlia..Sharkia","AG0121",2010,"2014","1",,,2020,"www.sphinxsai.com/2016/ch_vol9_no10/1/(20-30)V9N10CT.pdf",,31.059,31.588
"LTE0029","Domboshava","HK0306.2",1992,"2005","2",,,2018,"0",,-18.1667,31.1667
"LTE0041","Domboshawa Training Centre","NJ0067",2008,"2014","4",,,2020,"10.2135/cropsci2014.11.0796",,-17.607,31.141
"LTE0042","Domboshawa Training Centre","HK0268",1989,"1998","2",,"conventional tillage (CT), mulch ripping (MR), clean ripping (CR) and tied ridging (TR) for 9 years",2018,"10.1016/j.still.2006.08.006",,-17.607,31.141
"LTE0125","Domboshawa Training Centre","HK0294",1991,"2001","3","smallholder farming areas (4% clay). """"","tillage systems, conventional tillage (CT), clean reaping (CR) and mulch reaping (MR), were established in  a randomised block design experiment that was replicated 3  times.",2018,"10.4314/wsa.v38i2.8",,-17.607,31.141
"LTE0159","Domboshawa Training Centre","HK0308",1993,"2006","1",,"A factorial combination of row-intercrop plots at two NPK fertilizer rates was arranged in a randomized complete block design with two replicates",2018,"10.1017/s0014479707003303",,-17.607,31.141
"LTE0160","Domboshawa Training Centre","LM0346",2003,"2009","1",,"four different species for agroforestry and four different organic fert",2018,"10.1111/aje.12153",,-17.607,31.141
"LTE0160","Domboshawa Training Centre","AG0074",2002,"2011","1",,"Five different quality organic resources",2020,"10.1371/journal.pone.0182840",,-17.607,31.141
"LTE0174","Eastern Province","HK0240",,,"1","five years",,2018,"10.1080/03031853.2009.9523827",,-13.1,32.4
"LTE0030","El Dali","NJ0037",2001,"2010","2",,,2020,"10.1007/s10457-016-0048-3",,12.8944,33.3658
"LTE0030","El Mazmum","NJ0037",2001,"2010","2",,,2020,"10.1007/s10457-016-0048-3",,12.3368,33.4865
"LTE0010","Eldama Ravine, Baringo","LM0265",1987,"1994","26",,,2018,"10.1017/s0014479797000203",,0.0369,35.7277
"LTE0031","Embu District","NJ0136",2002,"2013","2",,,2020,"10.1016/j.soilbio.2016.06.027","YES",-0.604,37.663
"LTE0032","Embu District..Laikipia..Meru..Nanyuki","EO0113",,,"1",,,2020,"10.1016/j.ecoser.2018.03.004",,0.2318,37.3234
"LTE0022","Enyezini","HK0213.4",2005,"2011","11","HK0213.4 and HK0224 have the same treatments but HK0213.4 has more locations.","Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,"10.1017/s0014479713000306",,-11.9,33.6
"LTE0006","Evendissi","LM0008",2000,"2005","2",,,2018,"10.1080/01448765.2008.9755066",,3.45,11.4167
"LTE0170","Gampela","EO0103",2007,"2013","1",,,2020,"10.1002/ldr.3033",,12.4167,-1.35
"LTE0034","Gimo..Nzewe, Tete..Ulongue, Tete","AN0066",2010,"2014","2",,,2020,"10.1016/j.agee.2016.02.009",,-15.952,34.0515
"LTE0035","Ginchi ARS","NN0192",1989,"1997","1",,,2018,"0",,9.0221,38.1806
"LTE0010","Githunguri, Kiambu","LM0265",1987,"1994","26",,,2018,"10.1017/s0014479797000203",,-1.0617,36.7776
"LTE0037","Grasslands Research Station, Marondera","DK0104",2006,"2010","2",,,2020,"10.1016/j.still.2013.01.008",,-18.1727,31.4645
"LTE0036","Grasslands RS, Marondera","HK0274",1983,"1989","2",,,2018,"10.1081/css-120002752",,-18.178,31.503
"LTE0038","Grootfontein Agricultural Research Institute","LM0337",,,"1","75 years grazing",,,"#N/A",,-31.4766,25.0259
"LTE0161","Gum Selassa","DK0044",1971,"2011","1",,"3 treatments : TER+,DER+ and CT",2020,"10.1016/j.still.2014.11.009",,13.2333,39.5333
"LTE0161","Gum Selassa","NJ0117",2005,"2013","1",,"3 treatments : TER+,DER+ and CT",2020,"10.1017/s001447971400060x",,13.2333,39.5333
"LTE0039","Hagere Selam, May Zegzeg","JS0248",2005,"2010","1",,,2018,"10.1016/j.fcr.2011.12.009",,13.65,39.1667
"LTE0040","Hannanat","EO0069",,,"2","6 years",,2020,"10.1017/s1742170513000446",,33.9238,-6.8468
"LTE0040","Hannanat..Jyahna","EO0069",,,"2","7 years",,2020,"10.1017/s1742170513000446",,33.9425,-6.826
"LTE0162","Haramaya University","NN0240",1988,"1994","1",,"1. Control – no residue nor NP fertilizer applied 2. Residue applied and no NP fertilizer 3. Residue applied and half the recommended NP fer-",2018,"10.1023/a:",,9.417,42.036
"LTE0162","Haramaya University","NN0240",1988,"1994","1",,"1. Control – no residue nor NP fertilizer applied 2. Residue applied and no NP fertilizer 3. Residue applied and half the recommended NP fer-",2018,"10.1023/a:",,9.417,42.036
"LTE0255","Haramaya University","JS0279",,,"1","seven years","1. Control – no residue nor NP fertilizer applied 2. Residue applied and no NP fertilizer 3. Residue applied and half the recommended NP fer-",2018,"10.1023/a:",,9.417,42.036
"LTE0255","Haramaya University","JS0279",,,"1","seven years","1. Control – no residue nor NP fertilizer applied 2. Residue applied and no NP fertilizer 3. Residue applied and half the recommended NP fer-",2018,"10.1023/a:",,9.417,42.036
"tilizer applied at the start of the experiment only 4. Residue applied and the recommended NP fertilizer applied at the start of the experiment only 5. Residue applied and half the recommended level of NP fertilizer each year 6. Residue applied and the recommended level of NP fertilizer each year 7. NP fertilizer each year at half the recommended level","no residue 8. NP fertilizer each year at the recommended level","no residue.""""",2018,"10.1023/a:",,,,,,,,
"LTE0163","Haramaya University","JS0260",1986,"1990","1",,"1. flat bed control, 2. Open end tied ridge, on-ridge planting  3. Open end tied ridge, in-furrow planting  4. Closed end tied ridge, on-ridge planting  5. Closed end tied ridge, in-furrow planting",2018,"10.1080/02571862.1998.10635130",,9.417,42.036
"LTE0163","Haramaya University","JS0260",1986,"1990","1",,"1. flat bed control, 2. Open end tied ridge, on-ridge planting  3. Open end tied ridge, in-furrow planting  4. Closed end tied ridge, on-ridge planting  5. Closed end tied ridge, in-furrow planting",2018,"10.1080/02571862.1998.10635130",,9.417,42.036
"LTE0262","Haramaya University","JS0278",1986,"1995","1",,"1. flat bed control, 2. Open end tied ridge, on-ridge planting  3. Open end tied ridge, in-furrow planting  4. Closed end tied ridge, on-ridge planting  5. Closed end tied ridge, in-furrow planting",2018,"0",,9.417,42.036
"LTE0262","Haramaya University","JS0278",1986,"1995","1",,"1. flat bed control, 2. Open end tied ridge, on-ridge planting  3. Open end tied ridge, in-furrow planting  4. Closed end tied ridge, on-ridge planting  5. Closed end tied ridge, in-furrow planting",2018,"0",,9.417,42.036
"LTE0023","Henderson RS","HK0255.2",2004,"2011","4","Domboshawa is also part of the experiment but there started in 2009","Conventional control (CPM), Conservation Agriculture (CAM),Conservation agriculture (CAM + 2YR), Conservation agriculture (CAM+3YR)",2018,"10.1080/14735903.2012.703894",,-17.583,30.967
"LTE0060","Henderson RS","HK0314",2004,"2012","2",,,2020,"10.1016/j.fcr.2012.08.017",,-17.583,30.967
"LTE0109","Henderson RS","HK0313",2004,"2010","3",,"comparing two CA options (animal traction ripping and direct seeding) with a conventionally tilled control plot using a mouldboard plough were established in Zimbabwe, one in the area around Chikato village in the Zimuto Communal Area (Chikato), Masvingo Province (19.85S",,,,-17.583,30.967
"LTE0153","Henderson RS","NJ0126",2004,"2012","1",,"(1) conventional mouldboard",2020,"10.1007/s00248-016-0807-8",,-17.583,30.967
"LTE0041","Henderson RS-Clay Site","NJ0067",2008,"2014","4",,,2020,"10.2135/cropsci2014.11.0796",,-17.583,30.967
"LTE0041","Henderson RS-Sand Site","NJ0067",2008,"2014","4",,,2020,"10.2135/cropsci2014.11.0796",,-17.583,30.967
"LTE0022","Herbert, Balaka","HK0213.4",2006,"2011","11",,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,"10.1017/s0014479713000306",,-14.88,35.04
"LTE0022","Herbert, Balaka","HK0224",2006,"2012","8",,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,"10.1016/j.fcr.2012.11.010",,-14.88,35.04
"LTE0017","Hereford","DK0006",2005,"2015","2",,,2020,"10.1017/S0021859616000095",,-17.42,31.44
"LTE0109","Hereford","HK0313",2004,"2010","2",,"comparing two CA options (animal traction ripping and direct seeding) with a conventionally tilled control plot using a mouldboard plough were established in Zimbabwe, one in the area around Chikato village in the Zimuto Communal Area (Chikato), Masvingo Province (19.85S",,,,-17.42,31.44
"LTE0042","IAE, Harare","HK0268",1989,"1998","2",,,2018,"10.1016/j.still.2006.08.006",,-17.7031,31.1078
"LTE0125","IAE, Harare","HK0294",,,,"same article but different LTEs HK0295, IAE and DTC same treatments","tillage systems, conventional tillage (CT), clean reaping (CR) and mulch reaping (MR), were established in  a randomised block design experiment that was replicated 3  times.",2018,"10.4314/wsa.v38i2.8",,-17.7031,31.1078
"LTE0110","IAR Farm, Ahmadu Bello University, Samaru","LM0051",1949,"1995","4","LM 00051 4 different long term experiment can be divided in 4 ids ? LM0051 is until 1969 but same treatments. HK0050 is about experiment on org and inorg fertilizers only","mulch experiment, inorg fert experiment, rotation experiment and gamba fallow experiment",2018,"10.1017/S0021859600064558",,11.1591,7.6381
"LTE0110","IAR Farm, Ahmadu Bello University, Samaru","HK0050",1949,"1995","1","DNPK experiment that is also in LM0051","mulch experiment, inorg fert experiment, rotation experiment and gamba fallow experiment",2018,"10.1016/s0167-8809(96)01123-1",,11.1591,7.6381
"LTE0111","IAR Farm, Ahmadu Bello University, Samaru","NN0132",1978,"1983","1",,"three tillage treatments",2018,"10.1016/0167-1987(86)90460-5",,11.1591,7.6381
"LTE0112","IAR Farm, Ahmadu Bello University, Samaru","LM0097",1973,"1979","1",,"nine cropping sequences",2018,"10.2134/agronj1981.00021962007300020026x",,11.1591,7.6381
"LTE0164","IAR Farm, Ahmadu Bello University, Samaru","LM0051",1949,"1995","4","LM 00051 4 different long term experiment can be divided in 4 ids ? LM0051 is until 1969 but same treatments. HK0050 is about experiment on org and inorg fertilizers only","mulch experiment, inorg fert experiment, rotation experiment and gamba fallow experiment",2018,"10.1017/S0021859600064558",,11.1591,7.6381
"LTE0165","IAR Farm, Ahmadu Bello University, Samaru","LM0051",1949,"1995","4","LM 00051 4 different long term experiment can be divided in 4 ids ? LM0051 is until 1969 but same treatments. HK0050 is about experiment on org and inorg fertilizers only","mulch experiment, inorg fert experiment, rotation experiment and gamba fallow experiment",2018,"10.1017/S0021859600064558",,11.1591,7.6381
"LTE0166","IAR Farm, Ahmadu Bello University, Samaru","LM0051",1949,"1995","4","LM 00051 4 different long term experiment can be divided in 4 ids ? LM0051 is until 1969 but same treatments. HK0050 is about experiment on org and inorg fertilizers only","mulch experiment, inorg fert experiment, rotation experiment and gamba fallow experiment",2018,"10.1017/S0021859600064558",,11.1591,7.6381
"LTE0043","IAR/Amadu Bello University, Shika Farm","HK0161.1",1998,"2004","2",,,2018,"10.1007/s10705-008-9174-2",,11.118,7.617
"LTE0259","IAR/Amadu Bello University, Shika Farm","HK0161.2",1998,"2004","2",,,2018,"10.1007/s10705-008-9174-2",,11.118,7.617
"LTE0113","ICIPE, Mbita Point","NN0347",2004,"2010","1",,"The treatments were: (1) maize intercropped with D. uncinatum with or without 120 kg N/ha, (2) a maize monocrop with or without 120 kg N/ha, and (3) a maize monocrop with a mulch made from maize straw with or without 120 kg N/ha.",2018,"10.1016/j.cropro.2012.10.018",,-0.431,34.208
"LTE0114","ICIPE, Mbita Point","DK0117",2005,"2012","1",,"Monocropping, food legume intercrop, desmodium intercrop",2020,"10.1016/j.fcr.2013.09.012",,-0.431,34.208
"LTE0011","ICRISAT Sahelian Centre, Sadore","NN0026",1988,"1992","3",,"The main plot treatment factor was rotation and fertilizer level was the split-plot",2018,"10.1017/s0021859699007650",,13.2343,2.284
"LTE0115","ICRISAT Sahelian Centre, Sadore","JS0389",1986,"1991","1",,"different levels of manure and/or P from PR, PAPR or SSP sources",2018,"10.1016/0378-4290(94)90060-4",,13.2343,2.284
"LTE0116","ICRISAT Sahelian Centre, Sadore","NN0069",1986,"1996","1",,"13 treatments (Table 2), replicated four times, involving various combinations of hand cultivation (HC), ridging with animal traction and planting on ridges (AT), limited P fertilizer application and rotation with sole cowpea (C)",2018,"10.1017/s0014479700002106",,13.2343,2.284
"LTE0117","ICRISAT Sahelian Centre, Sadore","JS0307",1994,"2015","1",,"varying rates of mineral fertilizer, crop residue, and farmyard manure",2018,"10.1007/s10705-016-9786-x",,13.2343,2.284
"LTE0118","ICRISAT Sahelian Centre, Sadore","NN0067",1984,"1996","1",,"crop residues, crop residues + fertilizers,  control, fertilizer",2018,"10.1016/s0378-4290(02)00008-4",,13.2343,2.284
"LTE0118","ICRISAT Sahelian Centre, Sadore","NN0070",1983,"2007","1",,"crop residues, crop residues + fertilizers,  control, fertilizer",2018,"10.1007/s10705-010-9402-4",,13.2343,2.284
"LTE0171","ICRISAT Sahelian Centre, Sadore","NN0023",1984,"1989","1",,"different levels of manure and/or P from PR, PAPR or SSP sources",2018,"10.1007/bf01050874",,13.2343,2.284
"LTE0172","ICRISAT Sahelian Centre, Sadore","NN0041",1990,"1996","1",,"different levels of manure and/or P from PR, PAPR or SSP sources",2018,"10.1023/a:",,13.2343,2.284
"LTE0173","ICRISAT Sahelian Centre, Sadore","NN0040",1988,"1996","1",,"effects of crop residue, manure, fertilizer, and soil tillage",2018,"10.2136/sssaj1992.03615995005600010027x","YES",13.2343,2.284
"LTE0245","ICRISAT Sahelian Centre, Sadore","NN0049",1988,"1996","1",,"effects of crop residue, manure, fertilizer, and soil tillage",2018,"10.1017/s0014479705002899",,13.2343,2.284
"LTE0116","ICRISAT Sahelian Centre, Sadore","NN0070.1",1983,"2007","1",,"crop residues, crop residues + fertilizers,  control, fertilizer",2018,"10.1007/s10705-010-9402-4",,13.2343,2.284
"LTE0119","ICRISAT, Niamey","JS0334.1",1993,"2006","1",,"f fertilizer, crop residue, cattle manure, and combinations of these",2018,"10.2134/agronj2015.0375",,13.235,2.283
"LTE0119","ICRISAT, Niamey","JS0334.2",1993,"2006","1",,"f fertilizer, crop residue, cattle manure, and combinations of these",2018,"10.1016/j.agee.2017.03.004",,13.235,2.283
"LTE0120","IITA Conotou","JS0006.1",1986,"1992","1",,"in a maize and cassava crop rotation vs. intercropping system, with alleys ofLeucaena leucocephala (Lain.) de Wit and Caj anus caj an (L.) Millsp. vs. a no-tree control,with and without NPK fertiliser.",2018,"10.1007/bf00129628",,6.4193,2.3295
